strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3890998	Klebsiella pneumoniae	strong	542	174868	402553	5390120	no	-	ST3345	0	0	5	5	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	K43	none	Very high	99.99%		O1/O2v1	O2a	none	Very high	98.34%		-	-	-	qnrS1	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	LAP-2	-	-	-	-	SHV-27	156D	-	-	-	-	OXA-245*?-0%	ST3345	2	1	2	26	1	1	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3890999	Klebsiella pneumoniae	strong	488	229745	412669	5719638	no	-	ST4266-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi119	KL24	K24	none	Very high	99.27%		O1/O2v1	O1	none	Very high	98.36%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-28.v1^	-	-	-	-	-	CatB4.v1?-0%;OXA-181*?-44%;OXA-232?-0%;dfrA14.v2*?-43%	ST4266-1LV	2	1	4	1	1	25	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtT_42*-0%
ERR3891000	Klebsiella pneumoniae	strong	411	168593	517739	5467713	no	-	ST610	1	2	9	13	ybt 9; ICEKp3	209-1LV	-	0	-	0	-	0	-	0	-	wzi305	KL55	K55	*	Very high	96.22%		O3/O3a	O3/O3a	*	Very high	95.50%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1^;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST610	4	5	1	29	1	4	23	5	19	6	5	1	51*	48	9	5	5	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891001	Klebsiella pneumoniae	strong	720	159788	340371	5945427	no	-	ST377	1	3	8	10	ybt 13; ICEKp2 (truncated)	299-3LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.45%		O1/O2v2	O2afg	none	Very high	98.54%		aac(3)-IIa.v1^;aadA^;strA.v1;strB.v1	-	-	-	-	-	catA1*	-	sul1*?;sul2	-	-	dfrA15.v2	-	-	CTX-M-15	-	OXA-48	SHV-110	156D;35Q	-	MgrB-51%	GyrA-83Y;GyrA-87A;ParC-80I	-	sat-2?-0%	ST377	10	20	2	1	9	11	12	6	4	20	14	1	126*-46%	327	2	4	52*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891002	Klebsiella pneumoniae	strong	509	217418	412558	5567490	no	-	ST4266-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi119	KL24	K24	none	Very high	99.27%		O1/O2v1	O1	none	Very high	98.36%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-28.v1^	-	-	-	-	-	OXA-181*?-0%	ST4266-1LV	2	1	4	1	1	25	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891003	Klebsiella pneumoniae	strong	395	144292	524493	5847608	no	-	ST2096	4	2	8	13	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891004	Klebsiella pneumoniae	strong	381	179138	588773	5641618	no	-	ST307	0	1	8	15	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.26%		O1/O2v2	O2afg	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA^;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?;floR.v1*	-	sul2;sul3	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891005	Klebsiella pneumoniae	strong	291	184908	799190	5515479	no	-	ST985	1	1	8	12	ybt 16; ICEKp12	277	-	0	-	0	-	0	-	0	-	wzi39	KL39	K39	none	Very high	99.55%		O1/O2v2	O1	none	Very high	99.35%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-187	-	-	-	-	-	-	ST985	10	3	2	2	6	4	4	6	15	5	4	11	33	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891006	Klebsiella pneumoniae	strong	674	140345	285174	5587935	no	-	ST377	1	1	7	8	ybt 13; ICEKp2	299-1LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	-	High	99.44%	KL102_10	O1/O2v2	O2afg	none	Very high	98.54%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA^	-	-	-	-	-	CatB4.v1?	-	sul1*?	-	-	dfrA15.v2	OXA-1	-	CTX-M-15	-	-	SHV-110	156D;35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	-	-	ST377	10	20	2	1	9	11	12	6	4	20	14	1	126	327	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891007	Klebsiella pneumoniae	strong	524	146293	428800	5943903	no	-	ST2096	4	1	9	15	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	OXA-232*?-0%;sul2?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
