Assembly,Spieces,ST,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N90,auN,L50,L90,# N's per 100 kbp,K_type,strain,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,gapA,infB,mdh,pgi,phoE,rpoB,tonB
ERR3891120,klebsiella,-,58040,923,0,0,0,0,13157017,1219327,0,0,0,0,4423,4244,3621676,56.18,834,552,947.1,1574,3734,0,KL114?-+,ERR3891120,Klebsiella pneumoniae,strong,58040,240,4244,13157017,no,"total_size,N50",0,0,0,2,1,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL114),unknown (KL114),?-+,None,99.49%,"KL114_02_cpsACP,KL114_03_wzi,KL114_04_wza,KL114_06_wzc,KL114_07_wbaP,KL114_08_wzy,KL114_09_wciP,KL114_10_wzx,KL114_12_wcuQ,KL114_13,KL114_14_wbaZ,KL114_15,KL114_16_gnd,KL114_17_manC,KL114_18_manB,KL114_19_ugd",unknown (O1/O2v1),unknown (O1),?-,None,98.63%,"O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",-,-,-,-,-,-,-,-,sul2,-,-,-,-,-,-,-,-,-,-,OmpK35-83%;OmpK36-29%,PmrB-20%,-,SHV-223*?-0%;strB.v1*?-0%,CTX-M-103?-0%;CTX-M-114?-0%;OXA-163*?-56%;aac(6')-Ib-Hangzhou*?-0%;aadA25?-49%;aadA2?-0%;aadA5?-0%;aph3-Ia.v1*?-46%;catA1?-0%;catII.2*?-0%;dfrA12?-0%;dfrA15.v1?-0%;ermB.v1*?-57%;mphA?-0%;qnrS10?-0%;qnrS1?-66%;strA.v1?-0%;sul1?-0%;sul1?-41%;tet(A).v1?-0%,0,2,1,-,3,-,-,-,-,-,-,-,1*-0%,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ybtQ_139*-0%;fyuA_108*-0%;ybtP_112*-0%;ybtS_100*-0%;rmpA_55*-0%,gapA(2),infB(1),mdh(461?),pgi(3),phoE(380?),rpoB(351?),tonB(870?)
ERR3891053,klebsiella,-,46623,1287,1,0,0,0,11406507,1867770,6339,0,0,0,4544,6339,4125014,56.08,943,566,1124.2,1488,3770,0,KL64?-+,ERR3891053,Klebsiella pneumoniae,strong,46623,286,6339,11406507,no,"total_size,N50",0,0,0,6,6,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,99.58%,"KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_07_wzx,KL64_11_wcoU,KL64_12_wcoT,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD",unknown (O1/O2v1),unknown (O2a),?-,None,98.71%,"O1/O2v1_01_wzm,O1/O2v1_04_glf,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC",sat-2,-,-,-,-,mphE.v2^,CatB4.v1?,-,-,-,-,dfrA1.v1;dfrA12?;dfrA14.v2*,-,-,-,-,-,-,-,OmpK35-84%;OmpK36-22%,PmrB-19%,GyrA-83Y;GyrA-87G;ParC-80I,OXA-1?-0%,OXA-181?-43%;OXA-232?-0%;SHV-106?-0%;TEM-150?-0%;aac(6')-Ib-cr.v1?-0%;aac(6')-Ib-cr.v2?-78%;aph(6)-Id.v2?-0%;armA?-0%;armA?-60%;catA1*?-0%;catA1?-52%;msrE?-0%;sul1?-43%,0,1,6,1*,-,1,184*,-,4*-0%,-,-,-,-,-,-,2*-0%,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55-60%,-,-,ybtE_101*-57%;ybtA_39*-64%;ybtX_100*-52%;iutA_1*-0%;iucD_1*-0%;iucB_1*-70%,gapA(1),infB(6),mdh(307?),pgi(399?),phoE(1),rpoB(350?),tonB(538?)
ERR3891071,klebsiella,-,44884,1420,3,0,0,0,10923764,2088967,15745,0,0,0,4590,5595,4289134,56.25,979,574,1164.4,1477,3790,0,KL64?-+,ERR3891071,Klebsiella pneumoniae,strong,44884,319,5595,10923764,no,"total_size,N50",0,0,0,6,7,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,98.28%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_13_wcsF,KL64_14_wcuK,KL64_15_wbaZ,KL64_16_wcaJ,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd",O1/O2v1,O2a,?-,Good,98.58%,"O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_04_glf",aac(6')-Ib-cr.v2;aadA2^;armA;sat-2,-,-,-,-,mphE.v2^,CatB4.v1?,-,-,-,-,-,OXA-1,-,-,-,-,-,-,OmpK35-14%;OmpK36-8%,PmrB-41%,GyrA-83Y;GyrA-87G,-,OXA-163?-61%;OXA-245?-0%;SHV-28.v2?-0%;dfrA1.v1?-0%;dfrA1.v1?-41%;dfrA12?-0%;msrE?-0%;msrE?-44%;sul1?-52%,0,1,6,1,-,-,46*,-,4,-,-,120*-85%,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1*-0%,-,-,-,-,-,-,-,-,55-60%,-,-,ybtE_132*-0%;ybtU_52*-0%;ybtA_39*-64%;fyuA_161*-0%;fyuA_308*-41%;ybtQ_88*-0%;ybtX_100*-44%;ybtX_100*-0%;ybtA_71*-0%;iucC_1*-0%;iucB_1*-48%;iucB_1*-0%,gapA(1),infB(6),mdh(1),pgi(400?),phoE(601?),rpoB(46?),tonB(710?)
ERR3891052,ecoli_achtman_4,-,45100,1407,3,1,0,0,11163294,2119726,24705,11263,0,0,4367,11263,4177597,56.61,1010,576,1241.4,1377,3589,0,KL2?-+,ERR3891052,Klebsiella pneumoniae,strong,45100,288,11263,11163294,no,"total_size,N50",0,0,0,8,8,-,0,-,0,-,0,-,0,-,0,-,wzi2,unknown (KL2),unknown (K2),?-+,None,99.39%,"KL2_01_galF,KL2_02_cpsACP,KL2_03_wzi,KL2_06_wzc,KL2_09,KL2_10,KL2_11_wzx,KL2_13,KL2_16_manC,KL2_17_manB,KL2_18_ugd",O1/O2v1,O2a,?-,Good,99.99%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN",aac(6')-Ib-cr.v2;armA,-,-,-,-,mphE.v2^;msrE,CatB4.v1?,-,sul1,-,-,dfrA12,OXA-1,-,-,-,-,SHV-28.v1^,-,OmpK35-12%;OmpK36-37%,PmrB-26%,ParC-80I,-,OXA-163?-74%;TEM-150?-0%;aadA25?-49%;dfrA1.v1*?-59%,0,-,-,1*,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,adk(45?),fumC(1012?),gyrB(281),icd(804?),mdh(636?),purA(561?),recA(263?)
ERR3891087,klebsiella,-,37520,1466,11,0,0,0,10253124,2273671,68487,0,0,0,4424,8297,4334724,56.16,1034,586,1316.2,1362,3624,0,KL64?-+,ERR3891087,Klebsiella pneumoniae,strong,37520,371,8297,10253124,no,"total_size,N50",0,0,0,6,5,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL64),unknown (K64),?-+,None,99.44%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_09,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_23_rmlC",unknown (O1/O2v1),unknown (O1),?-,None,98.58%,"O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO",aac(6')-Ib-cr.v2;armA,-,-,-,-,-,CatB4.v1?,-,-,-,-,dfrA1.v1,OXA-1,-,-,-,-,-,-,OmpK35-12%;OmpK36-69%,PmrB-9%,ParC-80I,CTX-M-139?-0%;catA1*?-89%,OXA-181?-43%;OXA-232*?-0%;SHV-212?-0%;TEM-168?-77%;aadA25?-48%;aadA2?-0%;dfrA12?-0%;dfrA12?-0%;mphE.v2*?-78%;msrE?-0%;msrE?-0%;sat-2?-0%;sul1?-0%;tet(D)?-0%,0,1,6,-,234*,1,-,-,-,-,-,-,39*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1*,-,-,1,-,-,-,-,-,-,-,ybtE_132*-0%;ybtP_101*-0%;ybtS_93*-0%;ybtS_100*-47%;ybtT_4*-0%;ybtU_13*-0%;ybtT_42*-52%;iucC_1*-0%;iucA_1*-0%;iucD_1*-0%;rmpA_55*-60%;rmpA_55*-0%,gapA(1),infB(6),mdh(461?),pgi(390?),phoE(1),rpoB(353?),tonB(859?)
ERR3891112,klebsiella,-,49674,1505,4,0,0,0,12074341,2344009,22244,0,0,0,4431,6386,4386656,56.26,1053,587,1292,1358,3623,0,KL64?-+,ERR3891112,Klebsiella pneumoniae,strong,49674,268,6386,12074341,no,"total_size,N50",ST14-3LV,0,1,7,9,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,wzi64,unknown (KL64),unknown (K64),?-+,None,98.99%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_08_wcoV,KL64_10_wzy,KL64_13_wcsF,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC",O1/O2v1,O2a,?-,Good,98.63%,"O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_07_kfoC",aac(6')-Ib-cr.v2;armA*,-,-,-,-,mphE.v2^,-,-,sul1,-,-,dfrA1.v1;dfrA12;dfrA14.v2*,TEM-150*?,-,CTX-M-15,-,-,-,-,OmpK36-29%,-,GyrA-83Y;GyrA-87G;ParC-80I,CatB4.v1?-84%;SHV-106*?-0%;sat-2?-0%,OXA-181?-63%;OXA-1?-0%;OXA-232?-0%;aadA2*?-0%;aadA2?-0%;msrE?-0%;tet(D)?-0%;tet(D)?-54%,ST14-3LV,1*,-,1,1,1,-,1,-,100,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55-60%,-,-,irp2_228*-0%;ybtQ_88*-0%;ybtP_101*-46%;ybtE_132*-0%;ybtT_42*-0%;ybtS_100*-0%;ybtU_52*-0%;ybtU_13*-0%;iucD_1*-0%;iucB_1*-60%;iucB_1*-0%,gapA(330?),infB(256?),mdh(1),pgi(1),phoE(1),rpoB(46?),tonB(1)
ERR3891102,klebsiella,-,37026,1555,7,0,0,0,10197914,2408292,42488,0,0,0,4575,7121,4503984,56.21,1057,584,1299,1404,3741,0,KL64?-+,ERR3891102,Klebsiella pneumoniae,strong,37026,395,7121,10197914,no,"total_size,N50",ST2096-3LV,0,3,7,7,-,0,-,0,-,0,-,0,-,0,-,wzi64,unknown (KL64),unknown (K64),?-+,None,98.49%,"KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_07_wzx,KL64_14_wcuK,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_24_ugd",O1/O2v1,O2a,?-,Good,98.64%,"O1/O2v1_01_wzm,O1/O2v1_05_wbbN",armA?;sat-2,-,-,-,-,mphE.v2^,CatB4.v1?,-,-,-,-,dfrA12?;dfrA14.v2*,-,-,-,-,OXA-232,-,-,OmpK35-64%;OmpK36-27%,PmrB-61%,GyrA-83Y;GyrA-87G;ParC-80I,SHV-106*?-0%;aac(6')-Ib-cr.v1*?-0%;dfrA1.v1?-0%;msrE?-89%,OXA-1?-57%;TEM-105?-0%;aadA25?-49%;aadA2?-0%;sul1?-0%,ST2096-3LV,1*,6*,1,1,-,46,1,-,-,-,-,1,-,-,-,41*-0%,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1*-84%,-,-,-,-,-,-,-,-,irp2_228*-0%;fyuA_161*-0%;ybtP_112*-0%;ybtS_93*-0%;iutA_1*-0%;iucA_1*-58%;iucB_1*-0%;rmpA_55*-60%;rmpA_55*-0%,gapA(1?),infB(256?),mdh(1),pgi(1),phoE(380?),rpoB(46),tonB(1)
ERR3891082,klebsiella,-,31949,1669,3,0,0,0,9511418,2685167,16786,0,0,0,4429,5987,4623859,56.76,1150,597,1378.8,1321,3584,0,KL64?-,ERR3891082,Klebsiella pneumoniae,strong,31949,475,5987,9511418,no,"total_size,N50",ST147-3LV,0,3,7,7,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL64),unknown (K64),?-,None,99.26%,"KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_09,KL64_11_wcoU,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC",O1/O2v1,O2a,?-,Good,98.61%,"O1/O2v1_01_wzm,O1/O2v1_02_wzt",aadA*;aadA2^;aph(3')-VI,-,-,-,-,-,catII.2*,arr-3,-,-,-,dfrA12?,-,-,-,-,NDM-1,-,-,OmpK35-12%;OmpK36-19%,PmrB-20%,ParC-80I,OXA-9.v2?-0%;sul1?-0%,CTX-M-101?-0%;CatB4.v1?-0%;OXA-1?-0%;OXA-232*?-0%;SHV-107?-62%;SHV-161*?-0%;TEM-104?-0%;aac(3)-IIa.v1?-0%;aac(6')-Ib-Suzhou?-0%;aac(6')-Ib-cr.v1?-0%;catB3.v2?-0%;dfrA1.v1?-57%;mphA?-0%;qnrS1?-70%;strA.v1*?-0%;sul2?-61%,ST147-3LV,3,-,6,1,7,-,-,-,11,-,-,1,-,-,9,-,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ybtS_139*-0%;ybtP_136*-64%;ybtQ_88*-0%;ybtQ_102*-47%;ybtT_42*-0%;ybtT_42*-46%,gapA(3),infB(255?),mdh(6),pgi(1),phoE(7),rpoB(340?),tonB(870?)
ERR3891073,klebsiella,-,26841,1683,1,0,0,0,8744186,2715931,5745,0,0,0,4341,5745,4587369,57.08,1152,606,1397,1290,3507,0,KL64?-+,ERR3891073,Klebsiella pneumoniae,strong,26841,548,5745,8744186,no,"total_size,N50",0,0,0,6,4,-,0,-,0,-,0,-,0,-,0,-,wzi64,unknown (KL64),unknown (K64),?-+,None,98.54%,"KL64_01_galF,KL64_02_cpsACP,KL64_04_wza,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_24_ugd",O1/O2v1,O2a,?-,Good,98.60%,"O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",sat-2,-,-,-,-,-,CatB4.v1,-,-,-,-,dfrA1.v1,OXA-1,-,-,-,-,SHV-28.v1^,-,OmpK35-24%;OmpK36-11%,PmrB-61%,GyrA-83Y;GyrA-87G;ParC-80I,-,OXA-181?-0%;OXA-232?-0%;aac(6')-Ib-cr.v1*?-0%;catA1*?-0%;catA1?-47%,0,1*,6,1,1,-,46*,3*,-,-,-,-,1*-0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,irp2_220*-0%;ybtP_112*-0%;ybtQ_1*-52%;ybtX_100*-0%;ybtS_93*-0%;ybtU_52*-0%;fyuA_161*-0%;ybtT_4*-0%,gapA(1?),infB(6),mdh(1),pgi(1),phoE(601?),rpoB(46?),tonB(865?)
ERR3891101,klebsiella,-,28537,1760,9,0,0,0,9185131,2962389,58550,0,0,0,4464,8846,4863304,56.44,1201,606,1515.2,1274,3580,0,KL64?-+,ERR3891101,Klebsiella pneumoniae,strong,28537,556,8846,9185131,no,"total_size,N50",ST14-3LV,0,1,8,10,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,wzi64,unknown (KL64),unknown (K64),?-+,None,98.78%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_13_wcsF,KL64_17_gnd,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC",O1/O2v1,O2a,?-,Good,98.60%,"O1/O2v1_03_wbbM,O1/O2v1_04_glf",aac(6')-Ib-cr.v2;armA;sat-2,-,-,-,-,mphE.v2^;msrE,CatB4.v1?,-,sul1?,-,-,dfrA1.v1;dfrA12,-,-,CTX-M-15,-,-,-,-,OmpK35-14%;OmpK36-46%,PmrB-9%,GyrA-83Y;GyrA-87G;ParC-80I,SHV-28.v2?-84%,OXA-181?-0%;OXA-1?-63%;OXA-232?-0%;aadA2?-0%;aadA8b?-63%;catA1?-69%,ST14-3LV,-,6,1,1,1,-,-,4*-0%,100*-89%,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55-60%,-,-,fyuA_161*-0%;ybtQ_158*-0%;ybtE_132*-0%;ybtU_13*-0%;iutA_1*-0%;iucC_1*-0%;iucD_1*-0%;iucA_1*-65%;iucB_1*-63%;iucB_1*-0%,gapA(330?),infB(6),mdh(1),pgi(1),phoE(1),rpoB(46?),tonB(859?)
