Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
ERR3891120	58040	923	0	0	0	0	13157017	1219327	0	0	0	0	4423	4244	3621676	56.18	834	552	947.1	1574	3734	0
ERR3891053	46623	1287	1	0	0	0	11406507	1867770	6339	0	0	0	4544	6339	4125014	56.08	943	566	1124.2	1488	3770	0
ERR3891071	44884	1420	3	0	0	0	10923764	2088967	15745	0	0	0	4590	5595	4289134	56.25	979	574	1164.4	1477	3790	0
ERR3891052	45100	1407	3	1	0	0	11163294	2119726	24705	11263	0	0	4367	11263	4177597	56.61	1010	576	1241.4	1377	3589	0
ERR3891087	37520	1466	11	0	0	0	10253124	2273671	68487	0	0	0	4424	8297	4334724	56.16	1034	586	1316.2	1362	3624	0
ERR3891112	49674	1505	4	0	0	0	12074341	2344009	22244	0	0	0	4431	6386	4386656	56.26	1053	587	1292	1358	3623	0
ERR3891102	37026	1555	7	0	0	0	10197914	2408292	42488	0	0	0	4575	7121	4503984	56.21	1057	584	1299	1404	3741	0
ERR3891082	31949	1669	3	0	0	0	9511418	2685167	16786	0	0	0	4429	5987	4623859	56.76	1150	597	1378.8	1321	3584	0
ERR3891073	26841	1683	1	0	0	0	8744186	2715931	5745	0	0	0	4341	5745	4587369	57.08	1152	606	1397	1290	3507	0
ERR3891101	28537	1760	9	0	0	0	9185131	2962389	58550	0	0	0	4464	8846	4863304	56.44	1201	606	1515.2	1274	3580	0
ERR3891085	35725	1736	8	1	0	0	10234051	2935508	50488	10205	0	0	4254	10205	4703356	56.44	1232	612	1543.4	1210	3403	0
ERR3891066	29337	1800	14	0	0	0	9542509	3093776	87642	0	0	0	4347	9001	4887701	56.21	1244	619	1599.7	1215	3471	0
